VNUM	LOCALE_NAME
600101	[IN;50318] ([LI;EVENT_REWARD_TITLE])
600102	[IN;50319] ([LI;EVENT_REWARD_TITLE])
600103	[IN;50320] ([LI;EVENT_REWARD_TITLE])
600104	[IN;50321] ([LI;EVENT_REWARD_TITLE])
600126	[IN;50330] ([LI;EVENT_REWARD_TITLE])
600127	[IN;50331] ([LI;EVENT_REWARD_TITLE])
600128	[IN;50332] ([LI;EVENT_REWARD_TITLE])
600131	[IN;50333] ([LI;EVENT_REWARD_TITLE])
600132	[IN;50334] ([LI;EVENT_REWARD_TITLE])
600133	[IN;50335] ([LI;EVENT_REWARD_TITLE])
600134	[IN;50336] ([LI;EVENT_REWARD_TITLE])
600135	[IN;50337] ([LI;EVENT_REWARD_TITLE])
700000	[IN;600000] (B)
700001	[IN;100000] (%5)
700002	[IN;100000] (%15)
700003	[IN;100001] (%30)
700004	[IN;100001] (%50)
700005	[IN;100002] (%75)
700006	[IN;100002] (%100)
700011	[LI;GUILD_SKILL_PASSIVE] ([LG;TOOLTIP_APPLY_MAX_HP_PCT]) (1/3)
700012	[LI;GUILD_SKILL_PASSIVE] ([LG;DETAILS_5]) (1/3)
700013	[LI;GUILD_SKILL_PASSIVE] ([LG;DETAILS_0]) (1/3)
700014	[LI;GUILD_SKILL_PASSIVE] ([LG;AUTO_HUNTING_OPTION_BOSS]) (1/3)
700015	[LI;GUILD_SKILL_PASSIVE] ([LG;DETAILS_1]) (1/3)
700016	[LI;GUILD_SKILL_PASSIVE] ([LG;DETAILS_2]) (1/3)
700017	[LI;GUILD_SKILL_PASSIVE] ([LG;TOOLTIP_APPLY_MAX_HP_PCT]) (2/3)
700018	[LI;GUILD_SKILL_PASSIVE] ([LG;DETAILS_5]) (2/3)
700019	[LI;GUILD_SKILL_PASSIVE] ([LG;DETAILS_0]) (2/3)
700020	[LI;GUILD_SKILL_PASSIVE] ([LG;AUTO_HUNTING_OPTION_BOSS]) (2/3)
700021	[LI;GUILD_SKILL_PASSIVE] ([LG;DETAILS_1]) (2/3)
700022	[LI;GUILD_SKILL_PASSIVE] ([LG;DETAILS_2]) (2/3)
700023	[LI;GUILD_SKILL_PASSIVE] ([LG;TOOLTIP_APPLY_MAX_HP_PCT]) (3/3)
700024	[LI;GUILD_SKILL_PASSIVE] ([LG;DETAILS_5]) (3/3)
700025	[LI;GUILD_SKILL_PASSIVE] ([LG;DETAILS_0]) (3/3)
700026	[LI;GUILD_SKILL_PASSIVE] ([LG;AUTO_HUNTING_OPTION_BOSS]) (3/3)
700027	[LI;GUILD_SKILL_PASSIVE] ([LG;DETAILS_1]) (3/3)
700028	[LI;GUILD_SKILL_PASSIVE] ([LG;DETAILS_2]) (3/3)
700030	[IN;76037] (12[LI;PET_INFORMATION_LIFE_TIME])
700031	[IN;76037] (1[LG;CZ_REWARD_TOOLTIP_WEEKLY])
700032	[IN;76037] (3[LG;CZ_REWARD_TOOLTIP_WEEKLY])
700033	[IN;76037] (7[LG;CZ_REWARD_TOOLTIP_WEEKLY])
700034	[IN;72022] (12[LI;PET_INFORMATION_LIFE_TIME])
700035	[IN;72022] (1[LG;CZ_REWARD_TOOLTIP_WEEKLY])
700036	[IN;72022] (3[LG;CZ_REWARD_TOOLTIP_WEEKLY])
700037	[IN;72022] (7[LG;CZ_REWARD_TOOLTIP_WEEKLY])
700038	[LG;COLLECT_ITEMS] (1[LG;CZ_REWARD_TOOLTIP_WEEKLY])
700039	[LG;COLLECT_ITEMS] (3[LG;CZ_REWARD_TOOLTIP_WEEKLY])
700040	[LG;COLLECT_ITEMS] (7[LG;CZ_REWARD_TOOLTIP_WEEKLY])
700041	[LG;COLLECT_ITEMS] (15[LG;CZ_REWARD_TOOLTIP_WEEKLY])
700042	[LG;COLLECT_ITEMS]
