Vnum	Name	Type	SubType	Size	AntiFlags	Flags	WearFlags	ImmuneFlags	ShopBuyPrice	ShopSellPrice	RefinedVnum	RefineSet	67AttrMaterial	AlterToMagicItemPercent	LimitType0	LimitValue0	LimitType1	LimitValue1	ApplyType0	ApplyValue0	ApplyType1	ApplyValue1	ApplyType2	ApplyValue2	ApplyType3	ApplyValue3	Value0	Value1	Value2	Value3	Value4	Value5	Value6	Value7	Value8	Value9	Specular	GainSocketPercent	AddonType
700000	rp_bitirici_b	ITEM_NONE	0	1	ANTI_DROP | ANTI_SELL | ANTI_GIVE | ANTI_PKDROP | ANTI_STACK | ANTI_MYSHOP | ANTI_SAFEBOX	ITEM_STACKABLE	NONE	NONE	0	0	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	0	0	0	0	0	0	0
700001	sure_ozutu_(5)	ITEM_USE	USE_TIME_CHARGE_PER	1	ANTI_DROP | ANTI_SELL | ANTI_GIVE | ANTI_PKDROP | ANTI_STACK | ANTI_MYSHOP | ANTI_SAFEBOX	NONE	NONE	NONE	0	0	0	0	0	0	REAL_TIME	86400	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	5	0	0	0	0	0	0	0	0	0	0	0	0
700002	sure_ozutu_(15)	ITEM_USE	USE_TIME_CHARGE_PER	1	ANTI_DROP | ANTI_SELL | ANTI_GIVE | ANTI_PKDROP | ANTI_STACK | ANTI_MYSHOP | ANTI_SAFEBOX	NONE	NONE	NONE	0	0	0	0	0	0	REAL_TIME	86400	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	15	0	0	0	0	0	0	0	0	0	0	0	0
700003	sure_ozutu_(30)	ITEM_USE	USE_TIME_CHARGE_PER	1	ANTI_DROP | ANTI_SELL | ANTI_GIVE | ANTI_PKDROP | ANTI_STACK | ANTI_MYSHOP | ANTI_SAFEBOX	NONE	NONE	NONE	0	0	0	0	0	0	REAL_TIME	86400	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	35	0	0	0	0	0	0	0	0	0	0	0	0
700004	sure_ozutu_(50)	ITEM_USE	USE_TIME_CHARGE_PER	1	ANTI_DROP | ANTI_SELL | ANTI_GIVE | ANTI_PKDROP | ANTI_STACK | ANTI_MYSHOP | ANTI_SAFEBOX	NONE	NONE	NONE	0	0	0	0	0	0	REAL_TIME	86400	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	50	0	0	0	0	0	0	0	0	0	0	0	0
700005	sure_ozutu_(75)	ITEM_USE	USE_TIME_CHARGE_PER	1	ANTI_DROP | ANTI_SELL | ANTI_GIVE | ANTI_PKDROP | ANTI_STACK | ANTI_MYSHOP | ANTI_SAFEBOX	NONE	NONE	NONE	0	0	0	0	0	0	REAL_TIME	86400	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	75	0	0	0	0	0	0	0	0	0	0	0	0
700006	sure_ozutu_(100)	ITEM_USE	USE_TIME_CHARGE_PER	1	ANTI_DROP | ANTI_SELL | ANTI_GIVE | ANTI_PKDROP | ANTI_STACK | ANTI_MYSHOP | ANTI_SAFEBOX	NONE	NONE	NONE	0	0	0	0	0	0	REAL_TIME	86400	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	100	0	0	0	0	0	0	0	0	0	0	0	0
700011	passive_max_hp_1	ITEM_USE	USE_SPECIAL	1	ANTI_DROP | ANTI_SELL	ITEM_STACKABLE | ITEM_SLOW_QUERY	NONE	NONE	1000	50	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	40	0	0	0	0	0	0	0	0	0	0	0	0	0
700012	passive_monster_1	ITEM_USE	USE_SPECIAL	1	ANTI_DROP | ANTI_SELL	ITEM_STACKABLE | ITEM_SLOW_QUERY	NONE	NONE	1000	50	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	40	0	0	0	0	0	0	0	0	0	0	0	0	0
700013	passive_stone_1	ITEM_USE	USE_SPECIAL	1	ANTI_DROP | ANTI_SELL	ITEM_STACKABLE | ITEM_SLOW_QUERY	NONE	NONE	1000	50	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	40	0	0	0	0	0	0	0	0	0	0	0	0	0
700014	passive_boss_1	ITEM_USE	USE_SPECIAL	1	ANTI_DROP | ANTI_SELL	ITEM_STACKABLE | ITEM_SLOW_QUERY	NONE	NONE	1000	50	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	40	0	0	0	0	0	0	0	0	0	0	0	0	0
700015	passive_human_1	ITEM_USE	USE_SPECIAL	1	ANTI_DROP | ANTI_SELL	ITEM_STACKABLE | ITEM_SLOW_QUERY	NONE	NONE	1000	50	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	40	0	0	0	0	0	0	0	0	0	0	0	0	0
700016	passive_human_res_1	ITEM_USE	USE_SPECIAL	1	ANTI_DROP | ANTI_SELL	ITEM_STACKABLE | ITEM_SLOW_QUERY	NONE	NONE	1000	50	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	40	0	0	0	0	0	0	0	0	0	0	0	0	0
700017	passive_max_hp_2	ITEM_USE	USE_SPECIAL	1	ANTI_DROP | ANTI_SELL	ITEM_STACKABLE | ITEM_SLOW_QUERY	NONE	NONE	1000	50	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	40	0	0	0	0	0	0	0	0	0	0	0	0	0
700018	passive_monster_2	ITEM_USE	USE_SPECIAL	1	ANTI_DROP | ANTI_SELL	ITEM_STACKABLE | ITEM_SLOW_QUERY	NONE	NONE	1000	50	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	40	0	0	0	0	0	0	0	0	0	0	0	0	0
700019	passive_stone_2	ITEM_USE	USE_SPECIAL	1	ANTI_DROP | ANTI_SELL	ITEM_STACKABLE | ITEM_SLOW_QUERY	NONE	NONE	1000	50	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	40	0	0	0	0	0	0	0	0	0	0	0	0	0
700020	passive_boss_2	ITEM_USE	USE_SPECIAL	1	ANTI_DROP | ANTI_SELL	ITEM_STACKABLE | ITEM_SLOW_QUERY	NONE	NONE	1000	50	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	40	0	0	0	0	0	0	0	0	0	0	0	0	0
700021	passive_human_2	ITEM_USE	USE_SPECIAL	1	ANTI_DROP | ANTI_SELL	ITEM_STACKABLE | ITEM_SLOW_QUERY	NONE	NONE	1000	50	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	40	0	0	0	0	0	0	0	0	0	0	0	0	0
700022	passive_human_res_2	ITEM_USE	USE_SPECIAL	1	ANTI_DROP | ANTI_SELL	ITEM_STACKABLE | ITEM_SLOW_QUERY	NONE	NONE	1000	50	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	40	0	0	0	0	0	0	0	0	0	0	0	0	0
700023	passive_max_hp_3	ITEM_USE	USE_SPECIAL	1	ANTI_DROP | ANTI_SELL	ITEM_STACKABLE | ITEM_SLOW_QUERY	NONE	NONE	1000	50	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	40	0	0	0	0	0	0	0	0	0	0	0	0	0
700024	passive_monster_3	ITEM_USE	USE_SPECIAL	1	ANTI_DROP | ANTI_SELL	ITEM_STACKABLE | ITEM_SLOW_QUERY	NONE	NONE	1000	50	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	40	0	0	0	0	0	0	0	0	0	0	0	0	0
700025	passive_stone_3	ITEM_USE	USE_SPECIAL	1	ANTI_DROP | ANTI_SELL	ITEM_STACKABLE | ITEM_SLOW_QUERY	NONE	NONE	1000	50	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	40	0	0	0	0	0	0	0	0	0	0	0	0	0
700026	passive_boss_3	ITEM_USE	USE_SPECIAL	1	ANTI_DROP | ANTI_SELL	ITEM_STACKABLE | ITEM_SLOW_QUERY	NONE	NONE	1000	50	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	40	0	0	0	0	0	0	0	0	0	0	0	0	0
700027	passive_human_3	ITEM_USE	USE_SPECIAL	1	ANTI_DROP | ANTI_SELL	ITEM_STACKABLE | ITEM_SLOW_QUERY	NONE	NONE	1000	50	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	40	0	0	0	0	0	0	0	0	0	0	0	0	0
700028	passive_human_res_3	ITEM_USE	USE_SPECIAL	1	ANTI_DROP | ANTI_SELL	ITEM_STACKABLE | ITEM_SLOW_QUERY	NONE	NONE	1000	50	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	40	0	0	0	0	0	0	0	0	0	0	0	0	0
700030	Hirsizin_Eldivenleri(B)_12s	ITEM_USE	USE_AFFECT	1	ANTI_SELL	ITEM_STACKABLE | LOG	NONE	NONE	0	0	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	510	67	50	43200	0	0	0	0	0	0	0	0	0
700031	Hirsizin_Eldivenleri(B)_1d	ITEM_USE	USE_AFFECT	1	ANTI_SELL	ITEM_STACKABLE | LOG	NONE	NONE	0	0	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	510	67	50	86400	0	0	0	0	0	0	0	0	0
700032	Hirsizin_Eldivenleri(B)_3d	ITEM_USE	USE_AFFECT	1	ANTI_SELL	ITEM_STACKABLE | LOG	NONE	NONE	0	0	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	510	67	50	259200	0	0	0	0	0	0	0	0	0
700033	Hirsizin_Eldivenleri(B)_7d	ITEM_USE	USE_AFFECT	1	ANTI_DROP | ANTI_SELL | ANTI_GIVE | ANTI_PKDROP | ANTI_STACK | ANTI_MYSHOP | ANTI_SAFEBOX	ITEM_STACKABLE | LOG	NONE	NONE	0	0	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	510	67	50	604800	0	0	0	0	0	0	0	0	0
700034	Altin_Sans_Parasi(B)_12h	ITEM_USE	USE_AFFECT	1	ANTI_DROP | ANTI_GIVE | ANTI_PKDROP | ANTI_MYSHOP | ANTI_SAFEBOX	ITEM_STACKABLE | LOG	NONE	NONE	0	0	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	510	68	150	43200	0	0	0	0	0	0	0	0	0
700035	Altin_Sans_Parasi(B)_1d	ITEM_USE	USE_AFFECT	1	ANTI_DROP | ANTI_GIVE | ANTI_PKDROP | ANTI_MYSHOP | ANTI_SAFEBOX	ITEM_STACKABLE | LOG	NONE	NONE	0	0	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	510	68	50	86400	0	0	0	0	0	0	0	0	0
700036	Altin_Sans_Parasi(B)_3d	ITEM_USE	USE_AFFECT	1	ANTI_DROP | ANTI_GIVE | ANTI_PKDROP | ANTI_MYSHOP | ANTI_SAFEBOX	ITEM_STACKABLE | LOG	NONE	NONE	0	0	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	510	68	50	259200	0	0	0	0	0	0	0	0	0
700037	Altin_Sans_Parasi(B)_7d	ITEM_USE	USE_AFFECT	1	ANTI_DROP | ANTI_GIVE | ANTI_PKDROP | ANTI_MYSHOP | ANTI_SAFEBOX	ITEM_STACKABLE | LOG	NONE	NONE	0	0	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	510	68	50	604800	0	0	0	0	0	0	0	0	0
700038	auto_collect_affect_1d	ITEM_NONE	0	1	ANTI_STACK	NONE | LOG	NONE	NONE	0	0	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	86400	0	0	0	0	0	0	0	0	0	0	0	0
700039	auto_collect_affect_3d	ITEM_NONE	0	1	ANTI_STACK	NONE | LOG	NONE	NONE	0	0	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	259200	0	0	0	0	0	0	0	0	0	0	0	0
700040	auto_collect_affect_7d	ITEM_NONE	0	1	ANTI_STACK	NONE | LOG	NONE	NONE	0	0	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	604800	0	0	0	0	0	0	0	0	0	0	0	0
700041	auto_collect_affect_15d	ITEM_NONE	0	1	ANTI_STACK	NONE | LOG	NONE	NONE	0	0	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	1296000	0	0	0	0	0	0	0	0	0	0	0	0
700042	auto_collect_affect	ITEM_NONE	0	1	ANTI_STACK	NONE | LOG	NONE	NONE	0	0	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	2592000	0	0	0	0	0	0	0	0	0	0	0	0
700043	auto_collect_affect_1d_b	ITEM_NONE	0	1	ANTI_DROP | ANTI_SELL | ANTI_GIVE | ANTI_PKDROP | ANTI_STACK | ANTI_MYSHOP | ANTI_SAFEBOX	NONE | LOG	NONE	NONE	0	0	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	86400	0	0	0	0	0	0	0	0	0	0	0	0
